Username,Tweet,Created_Date,Sentiment_Score
Menigyiho,RT @Gen_Buhari_: A Perfect Description of the effects of the Ukraine-Russia War on Economies.Singapore  rightly put it in a way citizens wi…,2022-05-05 11:54:19+00:00,"{'neg': 0.141, 'neu': 0.725, 'pos': 0.134, 'compound': -0.0516}"
NerdyWordyMav,RT @ZhukAlyona: This is the story told to me by one of my followers about #evacuation from russia’s war against Ukraine. They both are safe…,2022-05-05 11:54:19+00:00,"{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.5994}"
Borg36271416,RT @ZhukAlyona: This is the story told to me by one of my followers about #evacuation from russia’s war against Ukraine. They both are safe…,2022-05-05 11:54:23+00:00,"{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.5994}"
hanashika33,RT @insidethegames: The #ETTU Board of Appeal did not overturn the decision to ban #Russian and #Belarussian national teams as well as the…,2022-05-05 11:54:22+00:00,"{'neg': 0.135, 'neu': 0.787, 'pos': 0.079, 'compound': -0.3612}"
CharlesBrigman1,@TuckerCarlson He is referring to legal ways of infringing on freedoms like Jim Crow laws you fu¢king moron and whe… https://t.co/goDOdYhM96,2022-05-05 11:54:22+00:00,"{'neg': 0.121, 'neu': 0.644, 'pos': 0.235, 'compound': 0.25}"
sobu_hasy,"RT @DarthPutinKGB: Weeks - 10
Victories - 0
Sanctions - ♾️
Economy - 🚽
Oil embargo - Pending
Supply dumps in Russia - Exploding
Generals -…",2022-05-05 11:54:21+00:00,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.4019}"
Lukyluke311,RT @The_Real_Fly: Russia's mission to the United Nations: The European Union is subordinate to Washington and has no foreign policy.,2022-05-05 11:54:18+00:00,"{'neg': 0.096, 'neu': 0.783, 'pos': 0.122, 'compound': 0.1531}"
sobioemma,"RT @AngieSkys: Conflict in Ukraine. 
Putin still has the support of the Russian people. It appears Russia with take full control of Eastern…",2022-05-05 11:54:19+00:00,"{'neg': 0.088, 'neu': 0.808, 'pos': 0.104, 'compound': 0.1027}"
00vkk,"RT @NewsNationTV: #UkraineRussiaWar : Who is more powerful - Russia or Finland? Know the full story...

#Ukrainian #UkraineWar #Russia #RussianAr…",2022-05-05 11:54:16+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
janardanpal73,"RT @SACHKAHOON: The conflict in Ukraine lasted long, Coca-Cola will shut down business in Russia! https://t.co/tdrD5zApcd",2022-05-05 11:54:16+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
MartinKocanda,RT @O_Ostapchuk: A document #Russia issues for Ukrainians from occupied region after 'filtering'. After receiving it survivors are sent to…,2022-05-05 11:54:23+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
a_meluzzi,"RT @ MariaDellaMoni6: THE NATO WAR AGAINST RUSSIA IS ALREADY UNDERWAY
by Editorial staff
In his press conference on April 25, the minist ...",2022-05-05 11:54:16+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
EbbastaJoe,"🇺🇦🇷🇺⚡️il Soldaten 🇮🇹Gramellinen⚡️👾
👁️ GrosseBertha? 👉 https://t.co/I2pC17GthZ
#Bandera # battalionAzov… https://t.co/Ep0lF2McY1",2022-05-05 11:54:16+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
marie_bain2,"RT @RVAwonk: If GOP operatives can collect this much compromising material on a member of Congress (Madison Cawthorn), imagine what a forei…",2022-05-05 11:54:16+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
NitzPnitz,"@LionelMedia Ms ""Nudelman"" ... with Jewish roots to Transnistria ... (Nuland, Vindman, Jovanovitch, Feldman, Karlan… https://t.co/2k3dovXu5u",2022-05-05 11:54:17+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
irinavl80864080,"RT @ioannZH: Putin's yacht plans to just sail away from Italy.
You can talk about peace and human rights as much as you like, but miss the yacht Putin ...",2022-05-05 11:54:16+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
slyjoedoe12,"RT @KyivIndependent: ⚡️Zelensky: Ukraine seeks full restoration of territory, including Crimea. 

Speaking at the WSJ's CEO Council Summit…",2022-05-05 11:54:16+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
mercoglianos,"Russia's Oil Output Is Plummeting, And It May Never Recover

https://t.co/PARspXFnOr",2022-05-05 11:54:17+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Barryhallphd,RT @PhillipsPOBrien: If we step back and look at the trajectory of military power deployed in Ukraine there is one constant change. Ukraine…,2022-05-05 11:54:18+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
DiegoMartell97,"RT @SamRamani2: Russia says that 200,000 children from Donetsk and Luhansk have crossed into its borders and 2,100 in the past 24 hours alo…",2022-05-05 11:54:17+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Kumnat1,"RT @ioannZH: Putin's yacht plans to just sail away from Italy.
You can talk about peace and human rights as much as you like, but miss the yacht Putin ...",2022-05-05 11:54:22+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
MonicaMofanta,RT @ Latest news: The union of African countries has made it known that they will not apply sanctions against #Russia for the invasion of the #Uc ...,2022-05-05 11:54:17+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
KotrlaVitezslav,"RT @CanadianUkrain1: #Russia has locked down the city of #Kherson almost entirely until May 11th.

In other news, the #Ukrainian uniforms m…",2022-05-05 11:54:23+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
NoCakeLeft,"RT @PhillipsPOBrien: So with Russian effort on land and air concentrated on the Donbas, they have barely moved 9 days. This is why the traj…",2022-05-05 11:54:17+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
SergioZ01,"RT @fabiochiusi: Ah here is worse? So De Masi could go and talk about Russian censorship in Russia, as he talks about Western censorship in ...",2022-05-05 11:54:18+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
zannard,@MagaliSkywalker @caioblinder If independent countries like Mexico were allied with Russia and installed nuclear missiles… https://t.co/0cpc2WqXno,2022-05-05 11:54:19+00:00,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
shakira32737762,"RT @MinaRylander1: Russia nation want a bilateral relationship and partnership with both economic and military powers Pakistan and china,…",2022-05-05 11:54:23+00:00,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.0772}"
kkearns,"RT @washingtonpost: Exclusive: Roman Abramovich, who owns England’s Chelsea soccer club, is now entering his third month serving as mediato…",2022-05-05 11:54:16+00:00,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.128}"
VanHohe88890318,"@PFdaCIA @hoje_no Yes. It would be nice to use Russia's own money, which is blocked.",2022-05-05 11:54:18+00:00,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.128}"
toranomaki11,"RT @KyivPost: We are negotiating and hope to continue rescuing people from #Azovstal, from #Mariupol. There are still civilians. Women, chi…",2022-05-05 11:54:19+00:00,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}"
JeromeRider,"RT @KyivIndependent: ⚡️UK intelligence update: Russia may use military exercise in Belarus to deter Ukrainian forces.

Although the UK Defe…",2022-05-05 11:54:16+00:00,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.4767}"
maestro_harcom,Throwback to this day when we became the African Champions to represent the continent in Russia later that year but… https://t.co/Tkml14mX3e,2022-05-05 11:54:20+00:00,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.5267}"
isinthemoment,"Poland seizes housing from former Russian diplomats, plans to hand them to Ukrainian refugees… https://t.co/WPzXFpHQGA",2022-05-05 11:54:15+00:00,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}"
Amer58218821,RT @PTIofficial: “When I was the energy minister I started talks with Russia for cheap oil which will have benefitted our country.”-@Hammad…,2022-05-05 11:54:20+00:00,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.5859}"
babar76,RT @PTIofficial: “When I was the energy minister I started talks with Russia for cheap oil which will have benefitted our country.”-@Hammad…,2022-05-05 11:54:15+00:00,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.5859}"
FabioProietti5,"@tempoweb In Russia there is no Democracy, in Italy there is Democracy 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",2022-05-05 11:54:22+00:00,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.9894}"
